method,lambda_phys,val_mse,D_recovered,D_norm_true,D_phys_in_stack,rel_D_err,median_strong_residual,median_weak_residual,elapsed_sec,failed,source,selected
strong,0.01,8.134898962453008e-05,0.014859716407954693,0.019750000000000004,0.05,0.24760929579976254,0.007707413285970688,0.0001978853833861649,211.21860599517822,False,results/tune10k_strong_lam0.01.json,
strong,0.1,1.8466176697984338e-05,0.0172275397926569,0.019750000000000004,0.05,0.12771950416927114,0.005582024343311787,9.384621807839721e-05,201.73614406585693,False,results/tune10k_strong_lam0.1.json,
strong,1.0,5.984734889352694e-05,0.019326018169522285,0.019750000000000004,0.05,0.021467434454568005,0.002022391650825739,5.947640602244064e-05,197.5733768939972,False,results/tune10k_strong_lam1.0.json,SELECTED via pilot-tuning calibration rule (prioritize D_norm recovery among stable low-val_mse runs)
strong,10.0,5.645205965265632e-05,0.016347767785191536,0.019750000000000004,0.05,0.17226492226878315,0.0015568546950817108,5.0287708290852606e-05,196.83779311180115,False,results/tune10k_strong_lam10.0.json,
strong,100.0,0.00019788378267548978,0.011518650688230991,0.019750000000000004,0.05,0.4167771803427347,0.0006584753282368183,4.31433436460793e-05,198.59641003608704,False,results/tune10k_strong_lam100.0.json,
weak,1.0,0.00011053844355046749,0.020618518814444542,0.019750000000000004,0.05,0.043975636174406994,0.00810198113322258,0.00014280153845902532,128.32550501823425,False,results/tune10k_weak_lam1.0.json,
weak,10.0,7.130582525860518e-05,0.020369168370962143,0.019750000000000004,0.05,0.03135029726390578,0.008326446637511253,0.0002017731312662363,115.3169059753418,False,results/tune10k_weak_lam10.0.json,
weak,100.0,0.00012880601570941508,0.019514603540301323,0.019750000000000004,0.05,0.011918808086009149,0.009263219311833382,0.00031603360548615456,111.92881512641907,False,results/tune10k_weak_lam100.0.json,
weak,1000.0,5.786484689451754e-05,0.015896974131464958,0.019750000000000004,0.05,0.19508991739417947,0.005391051061451435,0.00022762478329241276,116.80555582046509,False,results/tune10k_weak_lam1000.0.json,
weak,10000.0,0.0002191644161939621,0.011305919848382473,0.019750000000000004,0.05,0.42754836210721664,0.007292313501238823,0.00023404731473419815,86.10654330253601,False,results/tune10k_weak_lam10000.0.json,
weak,30.0,5.1416922360658646e-05,0.020197801291942596,0.019750000000000004,0.05,0.022673483136333807,0.00827712006866932,0.00012297683861106634,113.73902702331543,False,results/tune10k_weak_lam30.0.json,SELECTED via pilot-tuning calibration rule (prioritize D_norm recovery among stable low-val_mse runs)
weak,300.0,3.994317012256943e-05,0.01787424460053444,0.019750000000000004,0.05,0.09497495693496527,0.007391228806227446,0.00010142195969820023,111.67506122589111,False,results/tune10k_weak_lam300.0.json,
weak,3000.0,0.00014615360123571008,0.01308839675039053,0.019750000000000004,0.05,0.3372963670688341,0.0047047436237335205,0.00017663993639871478,85.64786410331726,False,results/tune10k_weak_lam3000.0.json,
