condition,dataset_index,D_pixel2_per_s,D_m2_per_s
32ww,1,1.524584e+02,8.801364e-11
32ww,2,1.500229e+02,8.660762e-11
32ww,3,1.535262e+02,8.863005e-11
32ww,4,1.484726e+02,8.571263e-11
32ww,5,1.516353e+02,8.753846e-11
32ww,6,1.525932e+02,8.809142e-11
32ww,7,1.558955e+02,8.999785e-11
32ww,8,1.496920e+02,8.641661e-11
32ww,9,1.489982e+02,8.601607e-11
32ww,10,1.575255e+02,9.093883e-11
32ww,11,1.471444e+02,8.494586e-11
32ww,12,1.526042e+02,8.809782e-11
32ww,13,1.494122e+02,8.625505e-11
32ww,14,1.601475e+02,9.245251e-11
32ww,15,1.533479e+02,8.852716e-11
32ww,16,1.565556e+02,9.037893e-11
32ww,17,1.598672e+02,9.229070e-11
32ww,18,1.533790e+02,8.854511e-11
32ww,19,1.559731e+02,9.004268e-11
32ww,20,1.524606e+02,8.801488e-11
56ww,1,1.534246e+01,8.857144e-12
56ww,2,1.634052e+01,9.433317e-12
56ww,3,1.564318e+01,9.030744e-12
56ww,4,1.570103e+01,9.064143e-12
56ww,5,1.636641e+01,9.448266e-12
56ww,6,1.598671e+01,9.229066e-12
56ww,7,1.579684e+01,9.119452e-12
56ww,8,1.603889e+01,9.259189e-12
56ww,9,1.554671e+01,8.975053e-12
56ww,10,1.577112e+01,9.104607e-12
56ww,11,1.659847e+01,9.582228e-12
56ww,12,1.723542e+01,9.949940e-12
56ww,13,1.656515e+01,9.562994e-12
56ww,14,1.677309e+01,9.683039e-12
56ww,15,1.710716e+01,9.875893e-12
56ww,16,1.744097e+01,1.006860e-11
56ww,17,1.675359e+01,9.671782e-12
56ww,18,1.587561e+01,9.164927e-12
56ww,19,1.607457e+01,9.279787e-12
56ww,20,1.625112e+01,9.381709e-12
