Model,Horizon,ROC_AUC,PR_AUC,Max_TSS,TSS_at_D2C,D2C_Threshold,Base_Rate,PR_AUC_vs_Random
Flare-PINN (Weak-Form),6h,0.967657,0.170456,0.843458,0.825921,0.260274,0.006123,27.837910
Flare-PINN (Weak-Form),12h,0.965277,0.239346,0.841973,0.832779,0.235663,0.010497,22.801685
Flare-PINN (Weak-Form),24h,0.956164,0.270556,0.823310,0.798033,0.237046,0.015920,16.994499
Strong-Form,6h,0.961262,0.192340,0.834481,0.767370,0.225049,0.006123,31.411798
Strong-Form,12h,0.959284,0.268678,0.833180,0.728442,0.244618,0.010497,25.596043
Strong-Form,24h,0.947468,0.283668,0.791988,0.764954,0.240705,0.015920,17.818065
Benchmark (No Physics),6h,0.958523,0.171045,0.825680,0.712339,0.242661,0.006123,27.934120
Benchmark (No Physics),12h,0.955787,0.257156,0.825578,0.680917,0.264188,0.010497,24.498374
Benchmark (No Physics),24h,0.943953,0.280231,0.780577,0.745610,0.246274,0.015920,17.602176
Logistic Regression,6h,0.933218,0.058896,0.782619,0.738150,0.719958,0.006123,9.618632
Logistic Regression,12h,0.934923,0.088964,0.770285,0.758157,0.710061,0.010497,8.475269
Logistic Regression,24h,0.928284,0.122108,0.747143,0.728043,0.694906,0.015920,7.670018
XGBoost,6h,0.896263,0.050793,0.678522,0.146609,0.719423,0.006123,8.295156
XGBoost,12h,0.902947,0.159904,0.711528,0.270474,0.746816,0.010497,15.233549
XGBoost,24h,0.918768,0.170045,0.737155,0.442417,0.716263,0.015920,10.681090
SVM,6h,0.687153,0.006066,0.489853,0.471723,0.363120,0.006123,0.990640
SVM,12h,0.891572,0.021479,0.707650,0.656836,0.670348,0.010497,2.046235
SVM,24h,0.751499,0.004557,0.664799,0.632811,0.615646,0.015920,0.286211
