Comparison,Horizon,N_Seeds_A,N_Seeds_B,TSS_A,TSS_B,Delta_TSS,CI_Lower,CI_Upper,Bootstrap_P_Value,Bootstrap_Significant,Welch_t,Welch_df,Welch_P_Value,Welch_Significant
Flare-PINN vs Baseline,6h,1,1,0.825921,0.712339,+0.113582,+0.023068,+0.234043,0.013060,True,,,,
Strong-Form vs Baseline,6h,1,1,0.767370,0.712339,+0.055031,-0.003967,+0.126971,0.394850,False,,,,
Flare-PINN vs Strong,6h,3,3,0.816984,0.766959,+0.050025,+0.003787,+0.147788,0.011910,True,7.679137,2.137117,0.006833,True
Flare-PINN vs DeFN,6h,3,5,0.816984,0.692851,+0.124133,+0.030003,+0.268968,0.019000,True,3.492515,4.263446,0.011299,True
Flare-PINN vs Baseline,12h,1,1,0.832779,0.680917,+0.151862,+0.034792,+0.274777,0.009450,True,,,,
Strong-Form vs Baseline,12h,1,1,0.728442,0.680917,+0.047525,-0.003359,+0.092231,0.139860,False,,,,
Flare-PINN vs Strong,12h,3,3,0.810600,0.721118,+0.089482,+0.016664,+0.201222,0.016800,True,6.782457,2.854734,0.003828,True
Flare-PINN vs DeFN,12h,3,5,0.810600,0.761884,+0.048717,-0.016033,+0.107666,0.110940,False,3.262738,4.235284,0.014258,True
Flare-PINN vs Baseline,24h,1,1,0.798033,0.745610,+0.052423,+0.014476,+0.111604,0.009930,True,,,,
Strong-Form vs Baseline,24h,1,1,0.764954,0.745610,+0.019345,+0.007161,+0.055654,0.000000,True,,,,
Flare-PINN vs Strong,24h,3,3,0.789759,0.751902,+0.037856,-0.000275,+0.089077,0.051370,False,4.868527,3.410276,0.006109,True
Flare-PINN vs DeFN,24h,3,5,0.789759,0.729909,+0.059849,-0.013964,+0.117862,0.105320,False,3.346142,4.450684,0.012186,True
